WordID,SentenceNr,WordNr,Target,Surprisal,Entropy
1223,24,14,feel,1.0198408062552127,5.371893
1224,24,15,guilty,6.192144253126836,8.062064
1225,24,16,for,3.7493009797048,3.4306877
1226,24,17,not,2.843391775543128,7.970938
1227,24,18,doing,3.5422124713222964,7.1613593
1228,24,19,as,6.9888531227076935,4.0725827
1229,24,20,much,2.9845122933363815,2.5181053
1230,24,21,to,2.929705249287255,4.8861794
1231,24,22,save,6.879936186399798,4.925115
1232,24,23,the,3.0497738467565814,3.9519773
1233,24,24,planet,3.65798638845887,7.210681
1234,24,25,They,14.427943881751448,2.7752972
1235,24,26,also,3.178349203154056,6.1920066
1236,24,27,cost,8.172286513610901,7.324446
1237,24,28,more,3.106799398093327,6.1287045
1238,24,29,and,3.5340946165885176,5.5680895
1239,24,30,a,8.463113948033858,7.5589056
1240,24,31,new,6.456657187483696,7.225506
1241,24,32,report,9.991860193425106,9.581365
1242,24,33,from,2.84352431768327,5.356759
1243,24,34,the,0.877709438930668,5.1926727
1244,24,35,very,14.641015529200942,7.740332
1245,24,36,green,9.756576403317844,6.9796176
1246,24,37,Union,14.694640000864302,7.6286845
1247,24,38,of,1.1980255763740963,5.0625963
1248,24,39,Concerned,0.08338501069523768,0.80088496
1249,24,40,Scientists,0.06127639348730385,0.5257551
1250,24,41,says,3.5756394134106886,6.3884993
1251,24,42,buyers,13.647016368444294,6.345526
1252,24,43,aren't,7.736255709807834,4.917158
1253,24,44,always,6.509656738015592,7.407169
1254,24,45,getting,5.832728262800608,7.4985585
1255,24,46,their,5.05718055550851,3.3053486
1256,24,47,money's,1.7883539144798173,6.818649
1257,24,48,worth,0.0038383367981031824,0.037607
1258,25,2,girl's,12.52728040835239,12.726794
1259,25,3,feet,9.95446561735658,8.720753
1260,25,4,were,1.7228261322880436,6.385426
1261,25,5,then,8.73640340643977,8.6004095
1262,25,6,re-wrapped,10.185491852375577,7.861904
1263,25,7,even,13.668308882184318,4.1131043
1264,25,8,tighter,2.757792621669362,4.0904403
1265,25,9,than,5.31965174500965,4.2952256
1266,25,10,before,1.2329206244810285,3.5963159
1267,25,11,causing,13.903894524809745,3.3175368
1268,25,12,her,2.072419678237431,5.7979913
1269,25,13,footprint,17.948335999604616,3.771876
1270,25,14,to,0.054418014794121804,0.51428944
1271,25,15,shrink,8.238847403910087,8.228773
1272,25,16,further,4.473961347716396,5.411188
1273,25,17,as,5.378436812740277,3.4058988
1274,25,18,the,2.9964793428733065,4.006082
1275,25,19,bones,10.102958986507481,10.808808
1276,25,20,slowly,7.194481350079236,7.5127134
1277,25,21,fused,7.3324562619397975,8.388757
1278,25,22,into,2.903085910953706,3.0803428
1279,25,23,their,6.118846727872844,4.5323806
1280,25,24,new,6.4395426110780365,8.98156
1281,25,25,configuration,9.669218218980507,7.830428
1282,25,26,Occasionally,26.54375714657638,1.7849052
1283,25,27,girls,11.244045835451608,7.4065537
1284,25,28,feet,12.83554216295002,6.170845
1285,25,29,would,1.8036650274969217,6.098636
1286,25,30,fester,9.9424423402679,7.484366
1287,25,31,and,2.4543464971636344,5.7653513
1288,25,32,blood,12.942758675527589,8.327814
1289,25,33,poisoning,15.657860750648501,6.01077
1290,25,34,from,6.660516532332185,3.4980953
1291,25,35,gangrene,12.111968891470168,7.667248
1292,25,36,could,4.387839716124633,4.731948
1293,25,37,be,1.1658864228478498,4.1884007
1294,25,38,a,6.6050422929029,5.108052
1295,25,39,cause,6.237450377345913,6.771126
1296,25,40,for,3.0223716544273094,5.515484
1297,25,41,concern,6.15459293381904,8.7132
1298,25,42,but,6.101598168794602,8.599336
1299,25,43,an,9.064650936830928,7.7010694
1300,25,44,estimated,6.764361734141205,8.968199
1301,25,45,90,5.811857459791508,5.9777293
1302,25,46,survived,19.872858625706222,2.099406
1303,25,47,the,3.316920148919254,7.1319084
1304,25,48,process,6.326519569542964,6.598153
1305,26,2,early,10.991956991186436,12.608684
1306,26,3,task,11.980015028611477,10.054393
1307,26,4,will,6.702467678869201,5.7774644
1308,26,5,be,1.2482227464955127,4.9433975
1309,26,6,to,0.8713441976044523,5.4053946
1310,26,7,make,6.061881967031935,8.632697
1311,26,8,sure,1.0636473698164801,5.255202
1312,26,9,the,2.72343481838251,5.4080677
1313,26,10,newfound,17.538924538702425,12.114046
1314,26,11,microbes,14.055182151603429,11.5260725
1315,26,12,were,7.340284953448514,5.7115574
1316,26,13,not,3.9755330922280456,8.550375
1317,26,14,introduced,7.356600558371231,9.468158
1318,26,15,while,8.143901936787481,4.362034
1319,26,16,drilling,10.229049238223404,7.8011613
1320,26,17,through,5.5206457685819466,5.938957
1321,26,18,the,1.208735245407975,6.3393884
1322,26,19,ice,7.4499566529520385,7.5022383
1323,26,20,into,9.058054296073582,5.1542664
1324,26,21,the,0.6316788524632928,4.318404
1325,26,22,lake,5.60857113299785,8.759744
1326,26,23,which,10.270005096650708,4.4938884
1327,26,24,involved,13.846255481360007,6.849299
1328,26,25,a,3.8727411542324344,9.32424
1329,26,26,hot-water,10.659249479807393,9.238252
1330,26,27,drilling,4.221704654696313,7.717364
1331,26,28,technique,4.598363306120481,6.490507
1332,26,29,designed,9.241010014766406,3.8364997
1333,26,30,to,0.3155688623008427,1.3327608
1334,26,31,greatly,10.89240201457175,8.512658
1335,26,32,reduce,1.375077402391246,4.72038
1336,26,33,or,8.699066434803136,5.6904716
1337,26,34,eliminate,0.31386798352345097,1.8495564
1338,26,35,any,3.8642943143759982,6.4162188
1339,26,36,contamination,4.316808323436627,7.9268646
1340,26,37,that,5.895452112958655,3.4143133
1341,26,38,might,1.3565626831786854,3.1290817
1342,26,39,come,4.707394708743205,4.0243707
1343,26,40,from,0.6483212371924795,2.5530882
